Producto	Precio	Stock	Categoría	Código de Barras
Sunny Care Protector Solar en Spray 50 SPF	300	0	OTC	793969341016
Sunny Care Repelente	390	2	OTC	0793969340989
Sunny Care SPORT Bloqueador	390	0	OTC	793969340996
Syncol Caja Con 12 Comprimidos	260	3	OTC	7501070600709
Tabcin Active 12 Capsulas Gripe y Tos	180	0	OTC	7501008499689
Tabcin Noche 12 Capsulas	180	1	OTC	7501008499702
Tadalafil 14 Tabletas 5Mg Chrisale	1500	2	GENERICO	7502216808652
Tadalafil 20mg 8 Tabletas Chrisale	1200	2	GENERICO	7502216808645
Tadalafil Gel 20 mg Bolt 36 Oral	400	2	GENERICO	7501299309841
Talco Mennen Azul	80	4	OTC	7501035908116
Talco Mennen Rosa	80	5	OTC	7501035908123
Tampax Regular cont 10	140	0	OTC	7506295369363
Tampax Super cont 10	140	0	OTC	7506295369387
Tampax Super Plus cont 10	140	3	OTC	020800600347
Tamsulosina 0.4mg c20 ULTRA	320	3	GENERICO	7502216790704
Terbinafina 1G Erbitrax 15 g	220	0	GENERICO	7502211783275
Testosterona Sostenon 250 1 Jeringa	1290	2	PATENTE	7502253072597
Tinitrend Tretinoina 0.5% 30 G	300	0		7502009748035
Toalla Anti Bacterial Escudo	60	7	Cuidado Personal	7501943493940
Toalla Anti Bacterial Escudo con 50	100	6	Cuidado Personal	7506425603404
Toalla Humectante Dodys	100	0	Cuidado Personal	7502221010798
Toallas Femeninas Kotex Nocturna	100	4	Cuidado Personal	7501943427754
Toallas Femeninas Saba Con Alas	100	5	Cuidado Personal	7501019031137
Toallas Femeninas Saba Nocturnas	100	3	Cuidado Personal	7501019035876
Toallas Femeninas Saba Regular sin Alas	100	4	Cuidado Personal	7501019031144
Toallitas Humedas Huggies	100	1	Departamento de bebe	7501943454743
Tobillera Elastica Rekord	450	1	OTC	729514000626
Tradaxin Cetirizina 10 mg c20	350	1	GENERICO	7503044182174
Tradaxin Cetirizina 30 tabletas 10 mg	780	3	GENERICO	7503044182198
Tramadol 100 mg Duo 100 Capsulas Adiodol	800	1	GENERICO	7503044182259
Tramadol 100 Mg Relivium 120 Tabletas	1050	34	GENERICO	7257427801076
Tramadol 200 mg C60 Tabletas	1600	2	GENERICO	742832733991
Tramadol 50 mg 10 Capsulas Adiodol	190	0	GENERICO	725742761971
Tramadol BF Duo 100mg c/120 capsulas	900	20	GENERICO	7506555400065
Tretinoina 0.05% crema Reacel	700	3	GENERICO	7502004403793
Tretinoina 00.5% Queratal 20G	250	0	GENERICO	7501836002020
Tretinoina 00.5% Retin-A 40 Gramos	1290	2	PATENTE	7501100076085
Tretinoina 0.1% Retin-A 40 Gramos	1870	1	PATENTE	7501100076092
Tretinoina Reacel A 0.1% Crema 40 mg	900	0	GENERICO	7502004403786
Tribedoce 100mg 30 tabletas	200	10	GENERICO	7502208894779
Tribedoce c5 ampolletas 50,000 Complejo B	480	5	GENERICO	7501537182960
Tribedoce Compuesto c3 Ampolletas Complejo B	380	5	GENERICO	7501537163266
Tums Sabores surtidos c3 rollos	120	8	OTC	7501065054043
